Name: Allée Avril de Sainte-Croix, Instruction: Head southeast on Allée Avril de Sainte-Croix, Distance: 189.5 meters, Time: 136.5 seconds
Name: Allée Davia, Instruction: Turn left onto Allée Davia, Distance: 23.8 meters, Time: 17.1 seconds
Name: Allée Davia, Instruction: Turn right onto Allée Davia, Distance: 141.3 meters, Time: 101.7 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.3 seconds
Name: -, Instruction: Turn slight right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 100.6 meters, Time: 72.4 seconds
Name: -, Instruction: Turn slight right, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 187.8 meters, Time: 135.2 seconds
Name: Place Possoz, Instruction: Turn left onto Place Possoz, Distance: 8.1 meters, Time: 5.8 seconds
Name: Rue Cortambert, Instruction: Turn right onto Rue Cortambert, Distance: 546.3 meters, Time: 393.3 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
