Name: Ryehill Close, Instruction: Head northwest on Ryehill Close, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 74.4 meters, Time: 53.5 seconds
Name: -, Instruction: Turn right, Distance: 174.9 meters, Time: 125.9 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 571.0 meters, Time: 411.1 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 111.1 meters, Time: 80.0 seconds
Name: Margan Avenue Shared Path, Instruction: Turn right onto Margan Avenue Shared Path, Distance: 91.5 meters, Time: 65.9 seconds
Name: Margan Avenue Shared Path, Instruction: Turn left onto Margan Avenue Shared Path, Distance: 17.8 meters, Time: 12.8 seconds
Name: Rankin Avenue Shared Path, Instruction: Turn right onto Rankin Avenue Shared Path, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn left, Distance: 289.0 meters, Time: 208.1 seconds
Name: -, Instruction: Turn right, Distance: 181.7 meters, Time: 130.8 seconds
Name: Crown Lynn Place, Instruction: Turn right onto Crown Lynn Place, Distance: 185.0 meters, Time: 133.2 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Keep right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
