Name: Impasse de la Renardière, Instruction: Head west on Impasse de la Renardière, Distance: 54.0 meters, Time: 38.9 seconds
Name: Rue de la Renardière, Instruction: Turn left onto Rue de la Renardière, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn right, Distance: 63.4 meters, Time: 45.7 seconds
Name: Rue Gounod, Instruction: Turn right onto Rue Gounod, Distance: 32.8 meters, Time: 23.6 seconds
Name: Rue Georges Lamouret, Instruction: Turn left onto Rue Georges Lamouret, Distance: 63.6 meters, Time: 45.8 seconds
Name: Place Diderot, Instruction: Continue straight onto Place Diderot, Distance: 25.9 meters, Time: 18.7 seconds
Name: Place Diderot, Instruction: Turn right onto Place Diderot, Distance: 86.4 meters, Time: 62.2 seconds
Name: Rue de la Jarry, Instruction: Continue straight onto Rue de la Jarry, Distance: 565.3 meters, Time: 407.0 seconds
Name: Rue de la Jarry, Instruction: Continue straight onto Rue de la Jarry, Distance: 134.4 meters, Time: 96.8 seconds
Name: Rue de Fontenay, D 143, Instruction: Turn right onto Rue de Fontenay, D 143, Distance: 161.6 meters, Time: 116.3 seconds
Name: Rue de Condé-sur-Noireau, Instruction: Turn left onto Rue de Condé-sur-Noireau, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 103.7 meters, Time: 74.6 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn slight right, Distance: 176.5 meters, Time: 127.1 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 79.5 meters, Time: 57.2 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 226.0 meters, Time: 162.8 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
