Name: Winter Crescent, Instruction: Head south on Winter Crescent, Distance: 71.4 meters, Time: 51.4 seconds
Name: Torrid Road, Instruction: Turn left onto Torrid Road, Distance: 97.1 meters, Time: 69.9 seconds
Name: Saturn Road, Instruction: Turn right onto Saturn Road, Distance: 100.8 meters, Time: 72.6 seconds
Name: -, Instruction: Keep left, Distance: 120.8 meters, Time: 87.0 seconds
Name: Orion Road, Instruction: Turn right onto Orion Road, Distance: 485.5 meters, Time: 349.5 seconds
Name: -, Instruction: Turn left, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Turn right, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Turn right, Distance: 27.8 meters, Time: 20.0 seconds
Name: Orion Road, Instruction: Turn left onto Orion Road, Distance: 108.4 meters, Time: 78.0 seconds
Name: Orion Road, Instruction: Keep left onto Orion Road, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn slight right, Distance: 23.4 meters, Time: 16.9 seconds
Name: Olifants Road, Instruction: Turn right onto Olifants Road, Distance: 385.1 meters, Time: 277.2 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: Ebrahim Road, Instruction: Turn left onto Ebrahim Road, Distance: 205.0 meters, Time: 147.6 seconds
Name: Luxmi Street, Instruction: Continue straight onto Luxmi Street, Distance: 457.1 meters, Time: 329.1 seconds
Name: -, Instruction: Arrive at Luxmi Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
