Name: Rablstraße, Instruction: Head southeast on Rablstraße, Distance: 562.0 meters, Time: 404.6 seconds
Name: Balanstraße, Instruction: Turn right onto Balanstraße, Distance: 41.0 meters, Time: 29.5 seconds
Name: Pariser Straße, Instruction: Turn left onto Pariser Straße, Distance: 160.5 meters, Time: 115.6 seconds
Name: Pariser Straße, Instruction: Turn slight left onto Pariser Straße, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 199.7 meters, Time: 143.8 seconds
Name: -, Instruction: Turn right, Distance: 23.7 meters, Time: 17.0 seconds
Name: Rosenheimer Straße, Instruction: Turn slight right onto Rosenheimer Straße, Distance: 381.7 meters, Time: 274.8 seconds
Name: -, Instruction: Turn left, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 68.4 meters, Time: 49.2 seconds
Name: Helmut-Dietl-Straße, Instruction: Turn right onto Helmut-Dietl-Straße, Distance: 7.5 meters, Time: 5.4 seconds
Name: Helmut-Dietl-Straße, Instruction: Turn left onto Helmut-Dietl-Straße, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Continue straight, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Keep right, Distance: 61.0 meters, Time: 43.9 seconds
Name: Speicherstraße, Instruction: Turn right onto Speicherstraße, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: Atelierstraße, Instruction: Turn right onto Atelierstraße, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 79.2 meters, Time: 57.0 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
