Name: Airdrie Road, Instruction: Head northeast on Airdrie Road, Distance: 5.3 meters, Time: 3.9 seconds
Name: Rolph Road, Instruction: Turn left onto Rolph Road, Distance: 101.0 meters, Time: 72.7 seconds
Name: Rumsey Road, Instruction: Turn left onto Rumsey Road, Distance: 96.6 meters, Time: 69.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 108.3 meters, Time: 78.0 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: Bessborough Drive, Instruction: Turn right onto Bessborough Drive, Distance: 64.7 meters, Time: 46.6 seconds
Name: St. Cuthberts Road, Instruction: Turn left onto St. Cuthberts Road, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 266.2 meters, Time: 191.6 seconds
Name: -, Instruction: Turn right, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn left, Distance: 328.6 meters, Time: 236.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 224.9 meters, Time: 161.9 seconds
Name: Forman Avenue, Instruction: Turn right onto Forman Avenue, Distance: 500.7 meters, Time: 360.5 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
