Name: Rue Élisa Lemonnier, Instruction: Head northwest on Rue Élisa Lemonnier, Distance: 108.0 meters, Time: 77.7 seconds
Name: -, Instruction: Turn left, Distance: 30.2 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 75.9 meters, Time: 54.6 seconds
Name: Coulée Verte René-Dumont, Instruction: Continue straight onto Coulée Verte René-Dumont, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight right, Distance: 88.3 meters, Time: 63.6 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 78.0 meters, Time: 56.1 seconds
Name: -, Instruction: Turn right, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: Rue Jacques Hillairet, Instruction: Turn right onto Rue Jacques Hillairet, Distance: 77.7 meters, Time: 56.0 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 282.4 meters, Time: 203.3 seconds
Name: -, Instruction: Turn left, Distance: 102.6 meters, Time: 73.9 seconds
Name: -, Instruction: Turn right, Distance: 59.1 meters, Time: 42.5 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: Rue Dorian, Instruction: Turn right onto Rue Dorian, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Arrive at Rue Dorian, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
