Name: Ferrier Avenue, Instruction: Head south on Ferrier Avenue, Distance: 11.3 meters, Time: 8.2 seconds
Name: Danforth Avenue, Instruction: Turn right onto Danforth Avenue, Distance: 14.4 meters, Time: 10.4 seconds
Name: Fenwick Avenue, Instruction: Turn left onto Fenwick Avenue, Distance: 213.3 meters, Time: 153.6 seconds
Name: -, Instruction: Continue straight, Distance: 46.3 meters, Time: 33.3 seconds
Name: -, Instruction: Keep right, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Keep left, Distance: 67.0 meters, Time: 48.2 seconds
Name: -, Instruction: Turn slight right, Distance: 365.5 meters, Time: 263.1 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn slight left, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.5 meters, Time: 3.9 seconds
Name: Logan Avenue, Instruction: Turn left onto Logan Avenue, Distance: 1086.9 meters, Time: 782.5 seconds
Name: -, Instruction: Turn right, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn slight left, Distance: 93.5 meters, Time: 67.3 seconds
Name: Faiers Lane, Instruction: Turn right onto Faiers Lane, Distance: 4.0 meters, Time: 2.9 seconds
Name: Booth Avenue, Instruction: Turn left onto Booth Avenue, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn right, Distance: 130.0 meters, Time: 93.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
