Name: Ruppertstraße, Instruction: Head northwest on Ruppertstraße, Distance: 65.0 meters, Time: 46.8 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 438.7 meters, Time: 315.9 seconds
Name: Hans-Fischer-Straße, Instruction: Continue straight onto Hans-Fischer-Straße, Distance: 33.6 meters, Time: 24.2 seconds
Name: Hans-Fischer-Straße, Instruction: Continue straight onto Hans-Fischer-Straße, Distance: 154.8 meters, Time: 111.5 seconds
Name: Hans-Fischer-Straße, Instruction: Continue straight onto Hans-Fischer-Straße, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: Hans-Fischer-Straße, Instruction: Turn left onto Hans-Fischer-Straße, Distance: 358.9 meters, Time: 258.4 seconds
Name: Linus-Pauling-Straße, Instruction: Continue straight onto Linus-Pauling-Straße, Distance: 90.9 meters, Time: 65.4 seconds
Name: Ganghoferstraße, Instruction: Turn right onto Ganghoferstraße, Distance: 94.1 meters, Time: 67.7 seconds
Name: Ben-Chorin-Straße, Instruction: Turn left onto Ben-Chorin-Straße, Distance: 42.7 meters, Time: 30.7 seconds
Name: Ganghoferstraße, Instruction: Turn right onto Ganghoferstraße, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 482.4 meters, Time: 347.3 seconds
Name: -, Instruction: Turn slight left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 298.1 meters, Time: 214.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
