Name: Old Northern Road, Instruction: Head northwest on Old Northern Road, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Keep left, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Continue straight, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Continue straight, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 125.2 meters, Time: 90.1 seconds
Name: -, Instruction: Keep left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 424.8 meters, Time: 305.9 seconds
Name: -, Instruction: Keep left, Distance: 10.8 meters, Time: 7.8 seconds
Name: Lynstock Avenue, Instruction: Turn sharp right onto Lynstock Avenue, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Turn left, Distance: 489.1 meters, Time: 352.2 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.2 seconds
Name: Old Castle Hill Road, Instruction: Turn right onto Old Castle Hill Road, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 94.8 meters, Time: 68.2 seconds
Name: Banks Road, Instruction: Continue straight onto Banks Road, Distance: 126.9 meters, Time: 91.4 seconds
Name: Banks Road, Instruction: Keep left onto Banks Road, Distance: 88.3 meters, Time: 63.6 seconds
Name: -, Instruction: Turn left, Distance: 50.5 meters, Time: 36.3 seconds
Name: -, Instruction: Keep left, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Keep right, Distance: 39.9 meters, Time: 28.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
