Name: Adelaide Street West, Instruction: Head west on Adelaide Street West, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 94.1 meters, Time: 67.8 seconds
Name: -, Instruction: Turn left, Distance: 60.6 meters, Time: 43.6 seconds
Name: Shank Street, Instruction: Turn right onto Shank Street, Distance: 101.0 meters, Time: 72.7 seconds
Name: -, Instruction: Turn left, Distance: 70.3 meters, Time: 50.6 seconds
Name: -, Instruction: Turn right, Distance: 110.6 meters, Time: 79.7 seconds
Name: -, Instruction: Keep left, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Keep left, Distance: 543.0 meters, Time: 391.0 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Keep right, Distance: 211.1 meters, Time: 152.0 seconds
Name: -, Instruction: Keep right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 0.1 meters, Time: 0.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
