Name: Calle Alumnos, Instruction: Head east on Calle Alumnos, Distance: 62.2 meters, Time: 44.8 seconds
Name: Avenida Maestro José Vasconcelos, Instruction: Turn right onto Avenida Maestro José Vasconcelos, Distance: 391.2 meters, Time: 281.6 seconds
Name: Calle Gobernador José María Tornel, Instruction: Turn right onto Calle Gobernador José María Tornel, Distance: 176.7 meters, Time: 127.2 seconds
Name: Calle Gobernador Protasio Pérez de Tagle, Instruction: Turn left onto Calle Gobernador Protasio Pérez de Tagle, Distance: 121.3 meters, Time: 87.4 seconds
Name: Calle Gobernador Gregorio V. Gelati, Instruction: Turn right onto Calle Gobernador Gregorio V. Gelati, Distance: 125.9 meters, Time: 90.7 seconds
Name: Calle General Juan Cano, Instruction: Turn left onto Calle General Juan Cano, Distance: 468.9 meters, Time: 337.6 seconds
Name: Calle Gobernador Luis Gonzaga Vieyra, Instruction: Turn right onto Calle Gobernador Luis Gonzaga Vieyra, Distance: 136.1 meters, Time: 98.0 seconds
Name: Calle Gobernador José Gómez de la Cortina, Instruction: Turn left onto Calle Gobernador José Gómez de la Cortina, Distance: 158.7 meters, Time: 114.2 seconds
Name: Calle Gobernador Manuel Reyes Veramendi, Instruction: Turn right onto Calle Gobernador Manuel Reyes Veramendi, Distance: 123.2 meters, Time: 88.7 seconds
Name: Avenida Parque Lira, Instruction: Turn right onto Avenida Parque Lira, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 122.8 meters, Time: 88.4 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn slight left, Distance: 123.7 meters, Time: 89.0 seconds
Name: -, Instruction: Turn left, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Turn right, Distance: 43.1 meters, Time: 31.0 seconds
Name: Avenida Observatorio, Instruction: Turn slight left onto Avenida Observatorio, Distance: 133.4 meters, Time: 96.0 seconds
Name: -, Instruction: Keep left, Distance: 59.9 meters, Time: 43.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 134.1 meters, Time: 96.5 seconds
Name: Avenida Observatorio, Instruction: Turn left onto Avenida Observatorio, Distance: 313.5 meters, Time: 225.7 seconds
Name: -, Instruction: Arrive at Avenida Observatorio, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
