Name: East 6th Place, Instruction: Head west on East 6th Place, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 272.6 meters, Time: 196.3 seconds
Name: East 5th Avenue, Instruction: Turn right onto East 5th Avenue, Distance: 6.5 meters, Time: 4.7 seconds
Name: Powerhouse Plaza, Instruction: Turn left onto Powerhouse Plaza, Distance: 9.8 meters, Time: 7.1 seconds
Name: Powerhouse Pedestrian Plaza, Instruction: Turn left onto Powerhouse Pedestrian Plaza, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Turn right, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn slight left, Distance: 225.7 meters, Time: 162.5 seconds
Name: -, Instruction: Turn left, Distance: 94.8 meters, Time: 68.3 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 110.9 meters, Time: 79.8 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
