Name: Defu Lane 11, Instruction: Head north on Defu Lane 11, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.7 seconds
Name: Hougang Ave 3 Park Connector, Instruction: Turn left onto Hougang Ave 3 Park Connector, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 648.6 meters, Time: 467.0 seconds
Name: Paya Lebar Park Connector, Instruction: Turn slight left onto Paya Lebar Park Connector, Distance: 200.6 meters, Time: 144.4 seconds
Name: -, Instruction: Continue straight, Distance: 178.6 meters, Time: 128.6 seconds
Name: -, Instruction: Turn left, Distance: 109.1 meters, Time: 78.5 seconds
Name: -, Instruction: Turn right, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
