Name: Starke Road, Instruction: Head southeast on Starke Road, Distance: 88.0 meters, Time: 63.3 seconds
Name: Protea Road, Instruction: Turn left onto Protea Road, Distance: 227.4 meters, Time: 163.7 seconds
Name: -, Instruction: Continue straight, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 137.7 meters, Time: 99.1 seconds
Name: -, Instruction: Turn left, Distance: 533.9 meters, Time: 384.4 seconds
Name: Longueville Way, Instruction: Turn right onto Longueville Way, Distance: 96.6 meters, Time: 69.6 seconds
Name: Longueville Way, Instruction: Keep left onto Longueville Way, Distance: 172.6 meters, Time: 124.3 seconds
Name: Jeffcoat Avenue, Instruction: Turn left onto Jeffcoat Avenue, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Turn right, Distance: 157.1 meters, Time: 113.1 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 657.5 meters, Time: 473.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
