Name: Alfred Street, Instruction: Head north on Alfred Street, Distance: 98.2 meters, Time: 70.7 seconds
Name: Belgrave Street, Instruction: Turn left onto Belgrave Street, Distance: 193.6 meters, Time: 139.4 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 258.8 meters, Time: 186.3 seconds
Name: Dickson Lane, Instruction: Turn left onto Dickson Lane, Distance: 6.0 meters, Time: 4.3 seconds
Name: Dickson Street, Instruction: Turn right onto Dickson Street, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn left, Distance: 614.5 meters, Time: 442.5 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 257.3 meters, Time: 185.2 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Keep right, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Keep right, Distance: 302.3 meters, Time: 217.6 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: Bronte Road, Instruction: Turn right onto Bronte Road, Distance: 101.6 meters, Time: 73.1 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: Bronte Road, Instruction: Turn left onto Bronte Road, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at Bronte Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
