Name: Rua Potengi, Instruction: Head northwest on Rua Potengi, Distance: 346.3 meters, Time: 249.4 seconds
Name: Rua Guapiara, Instruction: Turn right onto Rua Guapiara, Distance: 168.7 meters, Time: 121.5 seconds
Name: Rua General Roca, Instruction: Turn left onto Rua General Roca, Distance: 139.0 meters, Time: 100.0 seconds
Name: Praça Saenz Peña, Instruction: Turn right onto Praça Saenz Peña, Distance: 167.8 meters, Time: 120.8 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Keep right, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: Rua das Flores, Instruction: Turn sharp right onto Rua das Flores, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn right, Distance: 106.5 meters, Time: 76.7 seconds
Name: -, Instruction: Turn slight left, Distance: 24.0 meters, Time: 17.3 seconds
Name: Rua Major Ávila, Instruction: Turn right onto Rua Major Ávila, Distance: 77.6 meters, Time: 55.9 seconds
Name: Rua Benjamin Franklin, Instruction: Turn left onto Rua Benjamin Franklin, Distance: 257.6 meters, Time: 185.5 seconds
Name: Rua Major Ávila, Instruction: Turn left onto Rua Major Ávila, Distance: 82.3 meters, Time: 59.3 seconds
Name: Avenida Maracanã, Instruction: Turn left onto Avenida Maracanã, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
