Name: Nanyang Drive, Instruction: Head south on Nanyang Drive, Distance: 22.3 meters, Time: 16.0 seconds
Name: Lien Ying Chow Drive, Instruction: Enter the roundabout and take the 3rd exit onto Lien Ying Chow Drive, Distance: 158.9 meters, Time: 114.4 seconds
Name: Students Walk, Instruction: Turn right onto Students Walk, Distance: 227.9 meters, Time: 164.1 seconds
Name: Students Walk, Instruction: Keep right onto Students Walk, Distance: 57.5 meters, Time: 41.4 seconds
Name: Nanyang Circle, Instruction: Enter the roundabout and take the 1st exit onto Nanyang Circle, Distance: 300.1 meters, Time: 216.1 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn slight right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight left, Distance: 49.9 meters, Time: 36.0 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
