Name: Rue Brunel, Instruction: Head south on Rue Brunel, Distance: 156.5 meters, Time: 112.6 seconds
Name: Rue Denis Poisson, Instruction: Enter the roundabout and take the 4th exit onto Rue Denis Poisson, Distance: 255.8 meters, Time: 184.2 seconds
Name: Rue Duret, Instruction: Keep right onto Rue Duret, Distance: 342.8 meters, Time: 246.8 seconds
Name: Avenue Foch, Instruction: Turn slight right onto Avenue Foch, Distance: 19.9 meters, Time: 14.3 seconds
Name: Sortie Parking Étoile - Foch, Instruction: Turn sharp left onto Sortie Parking Étoile - Foch, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn right, Distance: 30.2 meters, Time: 21.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 52.0 meters, Time: 37.4 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: Rue de la Pompe, Instruction: Turn right onto Rue de la Pompe, Distance: 25.8 meters, Time: 18.6 seconds
Name: Rue de la Pompe, Instruction: Keep left onto Rue de la Pompe, Distance: 87.1 meters, Time: 62.7 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Keep right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Keep right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
