Name: Winter Avenue, Instruction: Head east on Winter Avenue, Distance: 240.7 meters, Time: 173.3 seconds
Name: Sussex Road, Instruction: Turn right onto Sussex Road, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Botanical Drive, Instruction: Turn left onto Botanical Drive, Distance: 6.9 meters, Time: 4.9 seconds
Name: Poole Road, Instruction: Turn right onto Poole Road, Distance: 74.1 meters, Time: 53.3 seconds
Name: Greyfriar Place, Instruction: Turn left onto Greyfriar Place, Distance: 121.5 meters, Time: 87.5 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Keep right, Distance: 38.3 meters, Time: 27.5 seconds
Name: -, Instruction: Turn left, Distance: 453.4 meters, Time: 326.5 seconds
Name: -, Instruction: Turn slight right, Distance: 420.9 meters, Time: 303.0 seconds
Name: -, Instruction: Keep right, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Keep left, Distance: 212.4 meters, Time: 152.9 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn slight left, Distance: 313.0 meters, Time: 225.4 seconds
Name: -, Instruction: Turn left, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn right, Distance: 198.2 meters, Time: 142.7 seconds
Name: Chestnut Grove, Instruction: Turn right onto Chestnut Grove, Distance: 8.4 meters, Time: 6.0 seconds
Name: Chestnut Grove, Instruction: Turn left onto Chestnut Grove, Distance: 6.9 meters, Time: 4.9 seconds
Name: Chestnut Grove, Instruction: Turn right onto Chestnut Grove, Distance: 12.8 meters, Time: 9.2 seconds
Name: Chestnut Grove, Instruction: Turn left onto Chestnut Grove, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Arrive at Chestnut Grove, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
