Name: Avenue du Maréchal Lyautey, Instruction: Head southwest on Avenue du Maréchal Lyautey, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 243.3 meters, Time: 175.1 seconds
Name: -, Instruction: Keep right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Keep right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight right, Distance: 134.5 meters, Time: 96.8 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: Avenue du Général Sarrail, Instruction: Turn right onto Avenue du Général Sarrail, Distance: 299.9 meters, Time: 215.9 seconds
Name: Avenue du Général Sarrail, Instruction: Turn left onto Avenue du Général Sarrail, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 178.2 meters, Time: 128.3 seconds
Name: -, Instruction: Turn slight right, Distance: 112.9 meters, Time: 81.3 seconds
Name: Rue Claude Farrère, Instruction: Turn right onto Rue Claude Farrère, Distance: 209.3 meters, Time: 150.7 seconds
Name: Rue Nungesser et Coli, Instruction: Enter the roundabout and take the 1st exit onto Rue Nungesser et Coli, Distance: 29.6 meters, Time: 21.3 seconds
Name: Rue du Vélodrome, Instruction: Turn left onto Rue du Vélodrome, Distance: 52.4 meters, Time: 37.7 seconds
Name: Place de l'Europe, Instruction: Continue straight onto Place de l'Europe, Distance: 10.3 meters, Time: 7.4 seconds
Name: Place de l'Europe, Instruction: Turn left onto Place de l'Europe, Distance: 13.6 meters, Time: 9.8 seconds
Name: Rue du Pavillon, Instruction: Turn slight right onto Rue du Pavillon, Distance: 291.1 meters, Time: 209.6 seconds
Name: Avenue Victor Hugo, Instruction: Turn left onto Avenue Victor Hugo, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 62.2 meters, Time: 44.8 seconds
Name: -, Instruction: Turn right, Distance: 153.1 meters, Time: 110.2 seconds
Name: -, Instruction: Turn left, Distance: 130.1 meters, Time: 93.7 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Keep left, Distance: 214.7 meters, Time: 154.6 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn slight right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Keep left, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 147.2 meters, Time: 106.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
