Name: Rua São José, Instruction: Head northeast on Rua São José, Distance: 54.3 meters, Time: 39.1 seconds
Name: Avenida Alfred Agache, Instruction: Turn right onto Avenida Alfred Agache, Distance: 142.3 meters, Time: 102.5 seconds
Name: -, Instruction: Continue straight, Distance: 91.3 meters, Time: 65.7 seconds
Name: Rua Marechal Aguinaldo Caiado de Castro, Instruction: Turn slight left onto Rua Marechal Aguinaldo Caiado de Castro, Distance: 114.3 meters, Time: 82.3 seconds
Name: Rua Marechal Aguinaldo Caiado de Castro, Instruction: Turn right onto Rua Marechal Aguinaldo Caiado de Castro, Distance: 31.0 meters, Time: 22.3 seconds
Name: Ladeira da Misericórdia, Instruction: Turn left onto Ladeira da Misericórdia, Distance: 120.5 meters, Time: 86.8 seconds
Name: Rua Santa Luzia, Instruction: Turn right onto Rua Santa Luzia, Distance: 138.6 meters, Time: 99.8 seconds
Name: Avenida Marechal Câmara, Instruction: Turn left onto Avenida Marechal Câmara, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.6 seconds
Name: Avenida Marechal Câmara, Instruction: Turn sharp left onto Avenida Marechal Câmara, Distance: 106.3 meters, Time: 76.5 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
