Name: Kurrajong Avenue, Instruction: Head east on Kurrajong Avenue, Distance: 24.8 meters, Time: 17.9 seconds
Name: Kurrajong Road, Instruction: Keep right onto Kurrajong Road, Distance: 41.7 meters, Time: 30.1 seconds
Name: Belmore Avenue, Instruction: Enter the roundabout and take the 1st exit onto Belmore Avenue, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 243.5 meters, Time: 175.3 seconds
Name: -, Instruction: Turn slight left, Distance: 550.8 meters, Time: 396.6 seconds
Name: -, Instruction: Turn right, Distance: 181.2 meters, Time: 130.5 seconds
Name: -, Instruction: Continue straight, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Continue straight, Distance: 101.9 meters, Time: 73.4 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 135.6 meters, Time: 97.6 seconds
Name: -, Instruction: Keep right, Distance: 330.2 meters, Time: 237.8 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 136.1 meters, Time: 98.0 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 23.0 meters, Time: 16.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
