Name: したみち通り, Instruction: Head west on したみち通り, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 233.9 meters, Time: 168.4 seconds
Name: -, Instruction: Turn left, Distance: 66.7 meters, Time: 48.0 seconds
Name: -, Instruction: Turn right, Distance: 144.3 meters, Time: 103.9 seconds
Name: -, Instruction: Turn left, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Keep right, Distance: 289.6 meters, Time: 208.5 seconds
Name: -, Instruction: Turn right, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Continue straight, Distance: 101.6 meters, Time: 73.1 seconds
Name: 保谷街道, 233, Instruction: Turn slight right onto 保谷街道, 233, Distance: 60.9 meters, Time: 43.9 seconds
Name: -, Instruction: Turn left, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn left, Distance: 265.4 meters, Time: 191.1 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 149.8 meters, Time: 107.9 seconds
Name: -, Instruction: Turn left, Distance: 50.1 meters, Time: 36.1 seconds
Name: -, Instruction: Turn right, Distance: 156.7 meters, Time: 112.8 seconds
Name: -, Instruction: Turn right, Distance: 117.7 meters, Time: 84.8 seconds
Name: -, Instruction: Turn left, Distance: 198.3 meters, Time: 142.8 seconds
Name: -, Instruction: Turn right, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
