Name: Travessa Ontario, Instruction: Head west on Travessa Ontario, Distance: 213.5 meters, Time: 153.7 seconds
Name: Rua Veiga de Castro, Instruction: Turn right onto Rua Veiga de Castro, Distance: 52.2 meters, Time: 37.6 seconds
Name: Avenida Etiópia, Instruction: Turn left onto Avenida Etiópia, Distance: 103.6 meters, Time: 74.6 seconds
Name: Avenida Central, Instruction: Turn right onto Avenida Central, Distance: 30.8 meters, Time: 22.2 seconds
Name: Avenida Brasil, Instruction: Turn left onto Avenida Brasil, Distance: 42.3 meters, Time: 30.5 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 107.1 meters, Time: 77.1 seconds
Name: -, Instruction: Turn right, Distance: 174.2 meters, Time: 125.4 seconds
Name: -, Instruction: Keep left, Distance: 14.2 meters, Time: 10.2 seconds
Name: Avenida Brasil, Instruction: Turn slight right onto Avenida Brasil, Distance: 107.4 meters, Time: 77.3 seconds
Name: -, Instruction: Turn left, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 50.9 meters, Time: 36.6 seconds
Name: -, Instruction: Turn left, Distance: 113.3 meters, Time: 81.5 seconds
Name: Estrada do Quafá, Instruction: Turn sharp left onto Estrada do Quafá, Distance: 12.0 meters, Time: 8.6 seconds
Name: Rua C Conjunto Taquaral Geahb, Instruction: Turn right onto Rua C Conjunto Taquaral Geahb, Distance: 264.0 meters, Time: 190.1 seconds
Name: Rua Argentino Pires de Oliveira, Instruction: Turn left onto Rua Argentino Pires de Oliveira, Distance: 101.3 meters, Time: 73.0 seconds
Name: Rua Arcelina Mochel, Instruction: Turn right onto Rua Arcelina Mochel, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Arrive at Rua Arcelina Mochel, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
