Name: Fasanenweg, Instruction: Head east on Fasanenweg, Distance: 340.0 meters, Time: 244.8 seconds
Name: -, Instruction: Turn right, Distance: 486.1 meters, Time: 350.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 169.3 meters, Time: 121.9 seconds
Name: Weiherweg, Instruction: Turn slight right onto Weiherweg, Distance: 45.3 meters, Time: 32.6 seconds
Name: Albert-Meyer-Straße, Instruction: Turn right onto Albert-Meyer-Straße, Distance: 164.9 meters, Time: 118.7 seconds
Name: Eschenrieder Straße, Instruction: Turn sharp left onto Eschenrieder Straße, Distance: 10.8 meters, Time: 7.8 seconds
Name: Maistraße, Instruction: Turn right onto Maistraße, Distance: 340.5 meters, Time: 245.2 seconds
Name: -, Instruction: Continue straight, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn left, Distance: 104.8 meters, Time: 75.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
