Name: Seidl-Kreuz-Weg, Instruction: Head east on Seidl-Kreuz-Weg, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 66.4 meters, Time: 47.8 seconds
Name: Johann-Theodor-Straße, Instruction: Turn slight left onto Johann-Theodor-Straße, Distance: 120.2 meters, Time: 86.5 seconds
Name: Max-Joseph-Straße, Instruction: Turn right onto Max-Joseph-Straße, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn left, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 137.5 meters, Time: 99.0 seconds
Name: Adalperostraße, Instruction: Turn right onto Adalperostraße, Distance: 248.5 meters, Time: 178.9 seconds
Name: Tassiloweg, Instruction: Turn right onto Tassiloweg, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
