Name: Calle Poniente 134, Instruction: Head west on Calle Poniente 134, Distance: 53.1 meters, Time: 38.2 seconds
Name: Avenida Ceylán, Instruction: Turn sharp left onto Avenida Ceylán, Distance: 396.1 meters, Time: 285.2 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: Avenida Ceylán, Instruction: Turn left onto Avenida Ceylán, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 495.4 meters, Time: 356.7 seconds
Name: Avenida de las Granjas, Instruction: Turn sharp right onto Avenida de las Granjas, Distance: 144.6 meters, Time: 104.1 seconds
Name: Avenida Miguel Hidalgo, Instruction: Turn left onto Avenida Miguel Hidalgo, Distance: 119.1 meters, Time: 85.8 seconds
Name: Avenida de las Granjas, Instruction: Turn right onto Avenida de las Granjas, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 71.3 meters, Time: 51.3 seconds
Name: Avenida Miguel Hidalgo, Instruction: Turn right onto Avenida Miguel Hidalgo, Distance: 349.0 meters, Time: 251.3 seconds
Name: Calle Rosario, Instruction: Turn right onto Calle Rosario, Distance: 944.8 meters, Time: 680.3 seconds
Name: -, Instruction: Arrive at Calle Rosario, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
