Name: O'Keefe Lane, Instruction: Head south on O'Keefe Lane, Distance: 198.5 meters, Time: 142.9 seconds
Name: -, Instruction: Turn left, Distance: 147.5 meters, Time: 106.2 seconds
Name: Bond Street, Instruction: Turn right onto Bond Street, Distance: 105.9 meters, Time: 76.2 seconds
Name: -, Instruction: Turn left, Distance: 55.9 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 107.4 meters, Time: 77.3 seconds
Name: Ditty Lane, Instruction: Turn left onto Ditty Lane, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 345.1 meters, Time: 248.5 seconds
Name: -, Instruction: Turn left, Distance: 105.9 meters, Time: 76.2 seconds
Name: Oak Hall Lane, Instruction: Turn left onto Oak Hall Lane, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Arrive at Oak Hall Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
