Name: Rue Saulnier, Instruction: Head west on Rue Saulnier, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn left, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn left, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 151.9 meters, Time: 109.4 seconds
Name: -, Instruction: Turn slight left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 48.0 meters, Time: 34.5 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight left, Distance: 112.3 meters, Time: 80.9 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Keep right, Distance: 93.2 meters, Time: 67.1 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 98.6 meters, Time: 71.0 seconds
Name: -, Instruction: Keep right, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight left, Distance: 80.2 meters, Time: 57.8 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.0 seconds
Name: Rue Montmartre, Instruction: Turn left onto Rue Montmartre, Distance: 299.5 meters, Time: 215.7 seconds
Name: Rue Montmartre, Instruction: Continue straight onto Rue Montmartre, Distance: 167.3 meters, Time: 120.5 seconds
Name: -, Instruction: Keep right, Distance: 2.1 meters, Time: 1.5 seconds
Name: Rue de Turbigo, Instruction: Turn left onto Rue de Turbigo, Distance: 10.2 meters, Time: 7.3 seconds
Name: Rue de Turbigo, Instruction: Turn sharp right onto Rue de Turbigo, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 42.6 meters, Time: 30.7 seconds
Name: Rue Rambuteau, Instruction: Turn left onto Rue Rambuteau, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 157.2 meters, Time: 113.2 seconds
Name: Rue Berger, Instruction: Turn left onto Rue Berger, Distance: 36.7 meters, Time: 26.5 seconds
Name: Passage des Lingères, Instruction: Turn right onto Passage des Lingères, Distance: 68.3 meters, Time: 49.2 seconds
Name: Place Marguerite de Navarre, Instruction: Turn left onto Place Marguerite de Navarre, Distance: 11.9 meters, Time: 8.6 seconds
Name: Place Marguerite de Navarre, Instruction: Turn right onto Place Marguerite de Navarre, Distance: 65.2 meters, Time: 46.9 seconds
Name: Rue de la Lingerie, Instruction: Turn left onto Rue de la Lingerie, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 61.6 meters, Time: 44.4 seconds
Name: -, Instruction: Turn right, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Keep left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Keep right, Distance: 19.8 meters, Time: 14.3 seconds
Name: Allée Waslaw Nijinsky, Instruction: Turn right onto Allée Waslaw Nijinsky, Distance: 44.4 meters, Time: 32.0 seconds
Name: Allée Waslaw Nijinsky, Instruction: Turn left onto Allée Waslaw Nijinsky, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Keep right, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Keep left, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Keep right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Keep right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight right, Distance: 76.9 meters, Time: 55.4 seconds
Name: -, Instruction: Turn left, Distance: 84.8 meters, Time: 61.1 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.7 seconds
Name: Quai de Gesvres, Instruction: Turn left onto Quai de Gesvres, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Arrive at Quai de Gesvres, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
