Name: Beale Place, Instruction: Head northeast on Beale Place, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 103.3 meters, Time: 74.4 seconds
Name: Accent Drive, Instruction: Turn right onto Accent Drive, Distance: 10.7 meters, Time: 7.7 seconds
Name: Accent Drive, Instruction: Keep left onto Accent Drive, Distance: 63.0 meters, Time: 45.3 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn right, Distance: 155.7 meters, Time: 112.1 seconds
Name: Wayne Francis Drive, Instruction: Turn left onto Wayne Francis Drive, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Turn right, Distance: 103.4 meters, Time: 74.5 seconds
Name: -, Instruction: Turn left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 195.0 meters, Time: 140.4 seconds
Name: -, Instruction: Keep right, Distance: 82.1 meters, Time: 59.1 seconds
Name: Bronwylian Drive, Instruction: Turn right onto Bronwylian Drive, Distance: 6.7 meters, Time: 4.8 seconds
Name: Cyril French Drive, Instruction: Turn left onto Cyril French Drive, Distance: 270.0 meters, Time: 194.4 seconds
Name: Bowmore Close, Instruction: Turn left onto Bowmore Close, Distance: 64.1 meters, Time: 46.1 seconds
Name: Bowmore Close, Instruction: Turn left onto Bowmore Close, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at Bowmore Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
