Name: Rue Gerty Archimède, Instruction: Head southwest on Rue Gerty Archimède, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn right, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Turn right, Distance: 290.3 meters, Time: 209.0 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Keep left, Distance: 59.4 meters, Time: 42.7 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 176.4 meters, Time: 127.0 seconds
Name: -, Instruction: Keep left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn slight left, Distance: 223.7 meters, Time: 161.1 seconds
Name: -, Instruction: Keep left, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: Place Félix Éboué, Instruction: Turn right onto Place Félix Éboué, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 267.0 meters, Time: 192.2 seconds
Name: -, Instruction: Keep left, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: Rue Louis Braille, Instruction: Turn right onto Rue Louis Braille, Distance: 274.8 meters, Time: 197.9 seconds
Name: Avenue du Général Michel Bizot, Instruction: Turn left onto Avenue du Général Michel Bizot, Distance: 37.2 meters, Time: 26.8 seconds
Name: Rue de Montempoivre, Instruction: Turn right onto Rue de Montempoivre, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 50.3 meters, Time: 36.2 seconds
Name: Promenade Plantée, Instruction: Turn right onto Promenade Plantée, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn left, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
