Name: Elderwood Drive, Instruction: Head west on Elderwood Drive, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 164.7 meters, Time: 118.6 seconds
Name: -, Instruction: Keep left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 87.6 meters, Time: 63.1 seconds
Name: -, Instruction: Turn left, Distance: 140.1 meters, Time: 100.9 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Keep left, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 175.3 meters, Time: 126.2 seconds
Name: -, Instruction: Turn left, Distance: 116.3 meters, Time: 83.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
