Name: Mathunistraße, Instruction: Head east on Mathunistraße, Distance: 12.1 meters, Time: 8.7 seconds
Name: Am Laimer Anger, Instruction: Turn left onto Am Laimer Anger, Distance: 200.1 meters, Time: 144.1 seconds
Name: -, Instruction: Turn right, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 31.0 meters, Time: 22.3 seconds
Name: Helmpertstraße, Instruction: Turn right onto Helmpertstraße, Distance: 186.6 meters, Time: 134.3 seconds
Name: Stadtlohner Straße, Instruction: Turn left onto Stadtlohner Straße, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 63.5 meters, Time: 45.7 seconds
Name: Fürstenrieder Straße, Instruction: Turn left onto Fürstenrieder Straße, Distance: 220.7 meters, Time: 158.9 seconds
Name: Landsberger Straße, Instruction: Turn right onto Landsberger Straße, Distance: 13.6 meters, Time: 9.8 seconds
Name: Fürstenrieder Straße, Instruction: Turn slight left onto Fürstenrieder Straße, Distance: 57.8 meters, Time: 41.6 seconds
Name: Landsberger Straße, Instruction: Turn left onto Landsberger Straße, Distance: 16.7 meters, Time: 12.0 seconds
Name: Wotanstraße, Instruction: Turn sharp right onto Wotanstraße, Distance: 346.1 meters, Time: 249.2 seconds
Name: -, Instruction: Turn right, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Keep right, Distance: 299.8 meters, Time: 215.8 seconds
Name: -, Instruction: Turn left, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 292.8 meters, Time: 210.8 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn left, Distance: 80.5 meters, Time: 58.0 seconds
Name: -, Instruction: Turn right, Distance: 158.0 meters, Time: 113.7 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Keep left, Distance: 4.9 meters, Time: 3.5 seconds
Name: Königbauerstraße, Instruction: Turn right onto Königbauerstraße, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Arrive at Königbauerstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
