Name: Hodge Street, Instruction: Head northwest on Hodge Street, Distance: 497.5 meters, Time: 358.2 seconds
Name: Low Street, Instruction: Turn left onto Low Street, Distance: 4.3 meters, Time: 3.1 seconds
Name: Lyle Avenue, Instruction: Turn right onto Lyle Avenue, Distance: 199.9 meters, Time: 143.9 seconds
Name: MacPherson Street, Instruction: Turn left onto MacPherson Street, Distance: 86.4 meters, Time: 62.2 seconds
Name: Donald Street, Instruction: Turn right onto Donald Street, Distance: 173.7 meters, Time: 125.0 seconds
Name: -, Instruction: Turn left, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 49.5 meters, Time: 35.6 seconds
Name: Kings Place, Instruction: Turn right onto Kings Place, Distance: 55.5 meters, Time: 39.9 seconds
Name: Kings Place, Instruction: Keep left onto Kings Place, Distance: 11.5 meters, Time: 8.3 seconds
Name: Kings Place, Instruction: Keep right onto Kings Place, Distance: 22.7 meters, Time: 16.4 seconds
Name: Westbrook Street, Instruction: Enter the roundabout and take the 3rd exit onto Westbrook Street, Distance: 471.4 meters, Time: 339.4 seconds
Name: -, Instruction: Turn left, Distance: 299.8 meters, Time: 215.9 seconds
Name: -, Instruction: Turn slight right, Distance: 112.5 meters, Time: 81.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
