Name: Spencer Street, Instruction: Head south on Spencer Street, Distance: 379.3 meters, Time: 273.1 seconds
Name: -, Instruction: Turn left, Distance: 194.9 meters, Time: 140.4 seconds
Name: -, Instruction: Turn left, Distance: 28.0 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 75.3 meters, Time: 54.2 seconds
Name: Hamilton Street, Instruction: Turn left onto Hamilton Street, Distance: 13.3 meters, Time: 9.5 seconds
Name: Milton Road, Instruction: Turn right onto Milton Road, Distance: 241.4 meters, Time: 173.8 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 77.3 meters, Time: 55.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
