Name: Heath Street East, Instruction: Head west on Heath Street East, Distance: 8.3 meters, Time: 6.0 seconds
Name: Welland Avenue, Instruction: Turn right onto Welland Avenue, Distance: 152.5 meters, Time: 109.8 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 251.3 meters, Time: 180.9 seconds
Name: -, Instruction: Turn right, Distance: 197.8 meters, Time: 142.4 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 317.6 meters, Time: 228.7 seconds
Name: -, Instruction: Keep left, Distance: 170.8 meters, Time: 123.0 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Keep right, Distance: 36.2 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.9 seconds
Name: Pailton Crescent, Instruction: Turn right onto Pailton Crescent, Distance: 150.0 meters, Time: 108.0 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 105.5 meters, Time: 75.9 seconds
Name: -, Instruction: Turn left, Distance: 52.7 meters, Time: 37.9 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 362.8 meters, Time: 261.2 seconds
Name: -, Instruction: Turn slight left, Distance: 104.3 meters, Time: 75.1 seconds
Name: -, Instruction: Keep left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Duplex Avenue, Instruction: Turn right onto Duplex Avenue, Distance: 338.4 meters, Time: 243.7 seconds
Name: Tranmer Avenue, Instruction: Turn left onto Tranmer Avenue, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
