Name: Stansfield Avenue, Instruction: Head northwest on Stansfield Avenue, Distance: 570.9 meters, Time: 411.1 seconds
Name: -, Instruction: Turn left, Distance: 563.9 meters, Time: 406.0 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: North Terrace, Instruction: Turn left onto North Terrace, Distance: 78.7 meters, Time: 56.6 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 103.5 meters, Time: 74.5 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Keep right, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 186.0 meters, Time: 133.9 seconds
Name: -, Instruction: Keep left, Distance: 143.3 meters, Time: 103.2 seconds
Name: -, Instruction: Turn slight right, Distance: 117.4 meters, Time: 84.5 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 422.7 meters, Time: 304.3 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 148.1 meters, Time: 106.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
