Name: Lilley Close, Instruction: Head northwest on Lilley Close, Distance: 11.1 meters, Time: 8.0 seconds
Name: Hermitage Wall, Instruction: Continue straight onto Hermitage Wall, Distance: 189.7 meters, Time: 136.6 seconds
Name: Wapping High Street, Instruction: Turn sharp right onto Wapping High Street, Distance: 51.5 meters, Time: 37.0 seconds
Name: St. Katharine's Way, Instruction: Turn left onto St. Katharine's Way, Distance: 241.8 meters, Time: 174.1 seconds
Name: St. Katharine's Way, Instruction: Turn left onto St. Katharine's Way, Distance: 120.0 meters, Time: 86.4 seconds
Name: -, Instruction: Turn right, Distance: 103.2 meters, Time: 74.3 seconds
Name: -, Instruction: Turn slight right, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Turn slight left, Distance: 10.3 meters, Time: 7.4 seconds
Name: Dead Man's Hole, Instruction: Turn right onto Dead Man's Hole, Distance: 27.0 meters, Time: 19.4 seconds
Name: Tower Bridge, Instruction: Turn right onto Tower Bridge, Distance: 380.8 meters, Time: 274.2 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: Tower Bridge Road, Instruction: Turn right onto Tower Bridge Road, Distance: 171.8 meters, Time: 123.7 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: Tooley Street, Instruction: Turn right onto Tooley Street, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 124.1 meters, Time: 89.3 seconds
Name: -, Instruction: Turn slight right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight left, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
