Name: Walter-Meckauer-Weg, Instruction: Head northwest on Walter-Meckauer-Weg, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn left, Distance: 176.7 meters, Time: 127.2 seconds
Name: -, Instruction: Turn left, Distance: 218.4 meters, Time: 157.2 seconds
Name: -, Instruction: Keep left, Distance: 38.7 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Keep right, Distance: 140.7 meters, Time: 101.3 seconds
Name: -, Instruction: Turn slight right, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn left, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn slight right, Distance: 16.7 meters, Time: 12.1 seconds
Name: -, Instruction: Keep left, Distance: 49.5 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: Daglfinger Straße, Instruction: Turn left onto Daglfinger Straße, Distance: 53.7 meters, Time: 38.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
