Name: Rue de Meaux, Instruction: Head southwest on Rue de Meaux, Distance: 211.5 meters, Time: 152.3 seconds
Name: Rue Armand Carrel, Instruction: Keep right onto Rue Armand Carrel, Distance: 79.4 meters, Time: 57.2 seconds
Name: Rue Armand Carrel, Instruction: Keep left onto Rue Armand Carrel, Distance: 222.5 meters, Time: 160.2 seconds
Name: Rue Armand Carrel, Instruction: Turn right onto Rue Armand Carrel, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn slight right, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Keep right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Keep right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep right, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 248.3 meters, Time: 178.8 seconds
Name: -, Instruction: Keep right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Keep right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
