Name: Amberlea Court, Instruction: Head northwest on Amberlea Court, Distance: 195.1 meters, Time: 140.4 seconds
Name: Grovewood Place, Instruction: Turn right onto Grovewood Place, Distance: 66.7 meters, Time: 48.0 seconds
Name: Oakhill Drive, Instruction: Enter the roundabout and take the 1st exit onto Oakhill Drive, Distance: 659.9 meters, Time: 475.1 seconds
Name: Willowbrook Place, Instruction: Turn right onto Willowbrook Place, Distance: 117.6 meters, Time: 84.7 seconds
Name: Highclere Place, Instruction: Turn right onto Highclere Place, Distance: 266.0 meters, Time: 191.5 seconds
Name: -, Instruction: Turn right, Distance: 105.6 meters, Time: 76.0 seconds
Name: -, Instruction: Turn left, Distance: 108.1 meters, Time: 77.9 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: Old Northern Road, Instruction: Turn right onto Old Northern Road, Distance: 91.7 meters, Time: 66.0 seconds
Name: Old Northern Road, Instruction: Keep left onto Old Northern Road, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 155.8 meters, Time: 112.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
