Name: Rue de l'Abbé Groult, Instruction: Head northwest on Rue de l'Abbé Groult, Distance: 113.6 meters, Time: 81.8 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 96.4 meters, Time: 69.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight left, Distance: 303.5 meters, Time: 218.5 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 164.2 meters, Time: 118.2 seconds
Name: -, Instruction: Turn slight right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
