Name: 11th Avenue, Instruction: Head southwest on 11th Avenue, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn right, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Keep right, Distance: 11.8 meters, Time: 8.5 seconds
Name: Beret Road, Instruction: Turn right onto Beret Road, Distance: 44.5 meters, Time: 32.0 seconds
Name: Beret Road, Instruction: Turn slight right onto Beret Road, Distance: 29.3 meters, Time: 21.1 seconds
Name: 9th Avenue, Instruction: Turn left onto 9th Avenue, Distance: 166.5 meters, Time: 119.9 seconds
Name: Norwood Road, Instruction: Turn right onto Norwood Road, Distance: 76.7 meters, Time: 55.2 seconds
Name: Epping Avenue, Instruction: Turn left onto Epping Avenue, Distance: 122.8 meters, Time: 88.4 seconds
Name: 21st Street, Instruction: Turn right onto 21st Street, Distance: 316.5 meters, Time: 227.9 seconds
Name: 16th Street, Instruction: Turn right onto 16th Street, Distance: 361.2 meters, Time: 260.1 seconds
Name: Consani Road, Instruction: Turn left onto Consani Road, Distance: 92.7 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn right, Distance: 112.7 meters, Time: 81.1 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 294.4 meters, Time: 212.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
