Name: Beco 7 Pal 39462, Instruction: Head east on Beco 7 Pal 39462, Distance: 111.9 meters, Time: 80.5 seconds
Name: Rua Cristina, Instruction: Turn right onto Rua Cristina, Distance: 70.3 meters, Time: 50.6 seconds
Name: Rua Cristina, Instruction: Turn left onto Rua Cristina, Distance: 160.7 meters, Time: 115.7 seconds
Name: Rua Rajadinha, Instruction: Turn right onto Rua Rajadinha, Distance: 184.2 meters, Time: 132.7 seconds
Name: -, Instruction: Turn left, Distance: 74.0 meters, Time: 53.3 seconds
Name: Rua do Agropiro, Instruction: Turn right onto Rua do Agropiro, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 223.3 meters, Time: 160.8 seconds
Name: Rua Mogiqui, Instruction: Turn sharp left onto Rua Mogiqui, Distance: 146.0 meters, Time: 105.1 seconds
Name: Travessa Sāo Jose, Instruction: Turn right onto Travessa Sāo Jose, Distance: 63.8 meters, Time: 46.0 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn left, Distance: 72.6 meters, Time: 52.2 seconds
Name: -, Instruction: Turn right, Distance: 146.6 meters, Time: 105.6 seconds
Name: Rua Sāo Joāo, Instruction: Turn slight left onto Rua Sāo Joāo, Distance: 35.8 meters, Time: 25.8 seconds
Name: Rua Menino Jesus, Instruction: Turn right onto Rua Menino Jesus, Distance: 86.1 meters, Time: 62.0 seconds
Name: Rua 4, Instruction: Turn left onto Rua 4, Distance: 154.4 meters, Time: 111.2 seconds
Name: Rua 5, Instruction: Turn left onto Rua 5, Distance: 64.9 meters, Time: 46.7 seconds
Name: -, Instruction: Turn left, Distance: 65.5 meters, Time: 47.2 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
