Name: Kallang Sector, Instruction: Head northwest on Kallang Sector, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 132.3 meters, Time: 95.3 seconds
Name: -, Instruction: Turn right, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 84.0 meters, Time: 60.5 seconds
Name: Lorong Bakar Batu, Instruction: Turn right onto Lorong Bakar Batu, Distance: 7.3 meters, Time: 5.3 seconds
Name: Tannery Road, Instruction: Turn left onto Tannery Road, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 132.7 meters, Time: 95.5 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: Genting Lane, Instruction: Turn right onto Genting Lane, Distance: 139.1 meters, Time: 100.2 seconds
Name: -, Instruction: Turn left, Distance: 186.5 meters, Time: 134.3 seconds
Name: Tannery Lane, Instruction: Turn right onto Tannery Lane, Distance: 35.3 meters, Time: 25.4 seconds
Name: Kallang Pudding Road, Instruction: Turn left onto Kallang Pudding Road, Distance: 180.9 meters, Time: 130.3 seconds
Name: Kallang Pudding Road, Instruction: Turn right onto Kallang Pudding Road, Distance: 48.8 meters, Time: 35.1 seconds
Name: Kallang Pudding Road, Instruction: Keep left onto Kallang Pudding Road, Distance: 25.5 meters, Time: 18.4 seconds
Name: Aljunied Road, Instruction: Turn right onto Aljunied Road, Distance: 19.9 meters, Time: 14.4 seconds
Name: -, Instruction: Keep left, Distance: 47.5 meters, Time: 34.2 seconds
Name: Merpati Road, Instruction: Turn slight left onto Merpati Road, Distance: 400.3 meters, Time: 288.2 seconds
Name: Merpati Road, Instruction: Continue straight onto Merpati Road, Distance: 60.2 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 51.3 meters, Time: 36.9 seconds
Name: Pelton Canal Park Connector, Instruction: Continue straight onto Pelton Canal Park Connector, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Keep left, Distance: 32.9 meters, Time: 23.7 seconds
Name: Circuit Road, Instruction: Turn left onto Circuit Road, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 248.6 meters, Time: 179.0 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: Circuit Road, Instruction: Turn sharp left onto Circuit Road, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 110.9 meters, Time: 79.9 seconds
Name: -, Instruction: Turn right, Distance: 263.6 meters, Time: 189.8 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 204.9 meters, Time: 147.6 seconds
Name: -, Instruction: Arrive at your destination, on the right, Distance: 0.0 meters, Time: 0.0 seconds
