Name: Rue de la Brèche aux Loups, Instruction: Head southwest on Rue de la Brèche aux Loups, Distance: 248.9 meters, Time: 179.2 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 84.1 meters, Time: 60.5 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 238.6 meters, Time: 171.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 229.5 meters, Time: 165.2 seconds
Name: -, Instruction: Turn right, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Turn slight right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 34.1 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Avenue de la Porte de Charenton, Instruction: Turn right onto Avenue de la Porte de Charenton, Distance: 350.0 meters, Time: 252.0 seconds
Name: Voie AI/12, Instruction: Turn sharp right onto Voie AI/12, Distance: 88.5 meters, Time: 63.7 seconds
Name: Rue de la Terrasse, Instruction: Turn left onto Rue de la Terrasse, Distance: 318.0 meters, Time: 229.0 seconds
Name: -, Instruction: Turn left, Distance: 131.6 meters, Time: 94.8 seconds
Name: -, Instruction: Turn left, Distance: 152.3 meters, Time: 109.7 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
