Name: Newent Close, Instruction: Head west on Newent Close, Distance: 15.4 meters, Time: 11.1 seconds
Name: Coleman Road, Instruction: Turn right onto Coleman Road, Distance: 146.5 meters, Time: 105.5 seconds
Name: Wells Way, Instruction: Turn right onto Wells Way, Distance: 134.5 meters, Time: 96.9 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Keep left, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn left, Distance: 273.8 meters, Time: 197.1 seconds
Name: -, Instruction: Keep left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.8 seconds
Name: Addington Square, Instruction: Turn right onto Addington Square, Distance: 106.7 meters, Time: 76.9 seconds
Name: Addington Square, Instruction: Turn left onto Addington Square, Distance: 686.3 meters, Time: 494.1 seconds
Name: John Ruskin Street, Instruction: Turn left onto John Ruskin Street, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 32.4 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: Dale Road, Instruction: Turn left onto Dale Road, Distance: 415.9 meters, Time: 299.4 seconds
Name: -, Instruction: Arrive at Dale Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
