Name: Catterick Close, Instruction: Head southeast on Catterick Close, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Turn left, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Keep right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn slight right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 52.7 meters, Time: 37.9 seconds
Name: -, Instruction: Keep left, Distance: 109.9 meters, Time: 79.1 seconds
Name: -, Instruction: Continue straight, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Keep left, Distance: 26.3 meters, Time: 19.0 seconds
Name: Atlas Road, Instruction: Turn right onto Atlas Road, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn left, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: Pinkham Way, Instruction: Turn slight right onto Pinkham Way, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Continue straight, Distance: 23.9 meters, Time: 17.2 seconds
Name: Alexandra Road, Instruction: Turn slight left onto Alexandra Road, Distance: 66.0 meters, Time: 47.5 seconds
Name: Sydney Road, Instruction: Turn right onto Sydney Road, Distance: 105.9 meters, Time: 76.2 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
