Name: Wrexham Road, Instruction: Head southwest on Wrexham Road, Distance: 16.5 meters, Time: 11.9 seconds
Name: Baldock Street, Instruction: Turn left onto Baldock Street, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep left, Distance: 83.3 meters, Time: 60.0 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Keep left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn slight left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.8 seconds
Name: Bow Arts Lane, Instruction: Turn left onto Bow Arts Lane, Distance: 55.6 meters, Time: 40.0 seconds
Name: Bow Road, Instruction: Turn right onto Bow Road, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 35.2 meters, Time: 25.3 seconds
Name: Bow Road, Instruction: Turn right onto Bow Road, Distance: 14.7 meters, Time: 10.6 seconds
Name: Bromley High Street, Instruction: Turn left onto Bromley High Street, Distance: 37.5 meters, Time: 27.0 seconds
Name: Rainhill Way, Instruction: Turn sharp right onto Rainhill Way, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Keep left, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Turn right, Distance: 138.8 meters, Time: 99.9 seconds
Name: Rainhill Way, Instruction: Turn left onto Rainhill Way, Distance: 51.3 meters, Time: 37.0 seconds
Name: Rainhill Way, Instruction: Turn left onto Rainhill Way, Distance: 205.4 meters, Time: 147.9 seconds
Name: -, Instruction: Turn right, Distance: 206.8 meters, Time: 148.9 seconds
Name: -, Instruction: Turn right, Distance: 61.6 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: Corsican Square, Instruction: Continue straight onto Corsican Square, Distance: 39.6 meters, Time: 28.5 seconds
Name: Corsican Square, Instruction: Turn right onto Corsican Square, Distance: 3.4 meters, Time: 2.5 seconds
Name: Corsican Square, Instruction: Turn left onto Corsican Square, Distance: 46.0 meters, Time: 33.1 seconds
Name: Barry Blandford Way, Instruction: Turn slight left onto Barry Blandford Way, Distance: 89.6 meters, Time: 64.5 seconds
Name: -, Instruction: Arrive at Barry Blandford Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
