Name: Shaw Street, Instruction: Head south on Shaw Street, Distance: 11.4 meters, Time: 8.2 seconds
Name: Marchmount Road, Instruction: Turn left onto Marchmount Road, Distance: 218.6 meters, Time: 157.4 seconds
Name: -, Instruction: Turn right, Distance: 86.6 meters, Time: 62.3 seconds
Name: -, Instruction: Keep left, Distance: 195.5 meters, Time: 140.8 seconds
Name: -, Instruction: Turn slight left, Distance: 587.1 meters, Time: 422.7 seconds
Name: -, Instruction: Keep left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight right, Distance: 62.7 meters, Time: 45.1 seconds
Name: -, Instruction: Keep left, Distance: 107.5 meters, Time: 77.4 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 231.8 meters, Time: 166.9 seconds
Name: -, Instruction: Keep left, Distance: 135.7 meters, Time: 97.7 seconds
Name: -, Instruction: Keep right, Distance: 74.5 meters, Time: 53.7 seconds
Name: -, Instruction: Turn slight right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 145.0 meters, Time: 104.4 seconds
Name: -, Instruction: Turn right, Distance: 56.9 meters, Time: 41.0 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn slight left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
