Name: Rue Malher, Instruction: Head south on Rue Malher, Distance: 166.2 meters, Time: 119.7 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 1.2 meters, Time: 0.8 seconds
Name: -, Instruction: Turn slight right, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Keep right, Distance: 102.5 meters, Time: 73.8 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 152.3 meters, Time: 109.7 seconds
Name: Rue de Birague, Instruction: Turn right onto Rue de Birague, Distance: 5.3 meters, Time: 3.8 seconds
Name: Rue Saint-Antoine, Instruction: Turn left onto Rue Saint-Antoine, Distance: 213.7 meters, Time: 153.9 seconds
Name: Rue Jacques Cœur, Instruction: Turn right onto Rue Jacques Cœur, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep left, Distance: 37.7 meters, Time: 27.1 seconds
Name: Place de la Bastille, Instruction: Turn slight right onto Place de la Bastille, Distance: 5.3 meters, Time: 3.8 seconds
Name: Place de la Bastille, Instruction: Turn right onto Place de la Bastille, Distance: 29.7 meters, Time: 21.4 seconds
Name: Place de la Bastille, Instruction: Turn left onto Place de la Bastille, Distance: 21.5 meters, Time: 15.5 seconds
Name: Place de la Bastille, Instruction: Turn slight left onto Place de la Bastille, Distance: 27.9 meters, Time: 20.1 seconds
Name: Place de la Bastille, Instruction: Turn left onto Place de la Bastille, Distance: 3.1 meters, Time: 2.2 seconds
Name: Place de la Bastille, Instruction: Turn right onto Place de la Bastille, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn right, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Keep left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 386.3 meters, Time: 278.2 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Continue straight, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Continue straight, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 139.7 meters, Time: 100.6 seconds
Name: Rue Traversière, Instruction: Turn right onto Rue Traversière, Distance: 106.7 meters, Time: 76.8 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Rue de Bercy, Instruction: Turn left onto Rue de Bercy, Distance: 43.3 meters, Time: 31.2 seconds
Name: Rue de Bercy, Instruction: Continue straight onto Rue de Bercy, Distance: 124.1 meters, Time: 89.4 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 54.1 meters, Time: 38.9 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 120.2 meters, Time: 86.5 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
