Name: Meggendorferstraße, Instruction: Head southwest on Meggendorferstraße, Distance: 169.9 meters, Time: 122.3 seconds
Name: -, Instruction: Keep left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Scharnhorststraße, Instruction: Turn left onto Scharnhorststraße, Distance: 14.8 meters, Time: 10.7 seconds
Name: Schegastraße, Instruction: Turn right onto Schegastraße, Distance: 266.5 meters, Time: 191.9 seconds
Name: Hardenbergstraße, Instruction: Turn left onto Hardenbergstraße, Distance: 84.5 meters, Time: 60.8 seconds
Name: Hanauer Straße, Instruction: Continue straight onto Hanauer Straße, Distance: 10.2 meters, Time: 7.4 seconds
Name: Gneisenaustraße, Instruction: Continue straight onto Gneisenaustraße, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 254.6 meters, Time: 183.3 seconds
Name: -, Instruction: Turn left, Distance: 194.4 meters, Time: 140.0 seconds
Name: -, Instruction: Turn right, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
