Name: شارع احمد بن حنبل الجانبى, Instruction: Head north on شارع احمد بن حنبل الجانبى, Distance: 177.4 meters, Time: 127.8 seconds
Name: شارع احمد بن حنبل, Instruction: Turn right onto شارع احمد بن حنبل, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: شارع احمد بن حنبل, Instruction: Turn sharp right onto شارع احمد بن حنبل, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Keep left, Distance: 57.5 meters, Time: 41.4 seconds
Name: شارع طلعت مصطفى, Instruction: Turn slight left onto شارع طلعت مصطفى, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Keep left, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Keep right, Distance: 21.6 meters, Time: 15.5 seconds
Name: شارع طلعت مصطفى, Instruction: Turn slight left onto شارع طلعت مصطفى, Distance: 98.1 meters, Time: 70.6 seconds
Name: شارع ابو خليفه النعمان, Instruction: Turn sharp left onto شارع ابو خليفه النعمان, Distance: 45.3 meters, Time: 32.6 seconds
Name: شارع ابو خليفه النعمان الجانبى, Instruction: Turn right onto شارع ابو خليفه النعمان الجانبى, Distance: 139.5 meters, Time: 100.5 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn slight right, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn left, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
