Name: Heiterwanger Straße, Instruction: Head east on Heiterwanger Straße, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Turn slight left, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.7 seconds
Name: -, Instruction: Keep left, Distance: 60.9 meters, Time: 43.9 seconds
Name: -, Instruction: Turn slight left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Keep right, Distance: 90.5 meters, Time: 65.2 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn slight left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 243.9 meters, Time: 175.6 seconds
Name: -, Instruction: Turn slight right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Keep right, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Turn slight left, Distance: 202.4 meters, Time: 145.7 seconds
Name: -, Instruction: Turn slight left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 148.8 meters, Time: 107.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
