Name: Bamfield Place, Instruction: Head east on Bamfield Place, Distance: 69.0 meters, Time: 49.7 seconds
Name: Seacliffe Road, Instruction: Turn left onto Seacliffe Road, Distance: 155.4 meters, Time: 111.8 seconds
Name: Frederick Street, Instruction: Turn left onto Frederick Street, Distance: 46.0 meters, Time: 33.1 seconds
Name: Frederick Street, Instruction: Enter the roundabout and take the 1st exit onto Frederick Street, Distance: 146.4 meters, Time: 105.4 seconds
Name: Carlton Street, Instruction: Turn slight right onto Carlton Street, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 389.4 meters, Time: 280.3 seconds
Name: -, Instruction: Keep right, Distance: 9.1 meters, Time: 6.6 seconds
Name: Viking Avenue, Instruction: Turn left onto Viking Avenue, Distance: 49.1 meters, Time: 35.3 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
