Name: Robinson Street, Instruction: Head northeast on Robinson Street, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 56.9 meters, Time: 41.0 seconds
Name: -, Instruction: Keep left, Distance: 103.8 meters, Time: 74.7 seconds
Name: -, Instruction: Keep left, Distance: 204.1 meters, Time: 146.9 seconds
Name: -, Instruction: Turn right, Distance: 80.4 meters, Time: 57.9 seconds
Name: Wolseley Street, Instruction: Turn left onto Wolseley Street, Distance: 8.9 meters, Time: 6.4 seconds
Name: Bathurst Street, Instruction: Turn right onto Bathurst Street, Distance: 5.6 meters, Time: 4.0 seconds
Name: Wolseley Street, Instruction: Turn left onto Wolseley Street, Distance: 42.8 meters, Time: 30.8 seconds
Name: Ace Lane, Instruction: Turn right onto Ace Lane, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 113.9 meters, Time: 82.0 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: Ryerson Avenue, Instruction: Turn right onto Ryerson Avenue, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 310.5 meters, Time: 223.6 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn slight left, Distance: 145.5 meters, Time: 104.8 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 1253.8 meters, Time: 902.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
