Name: Wooster Gardens, Instruction: Head south on Wooster Gardens, Distance: 110.2 meters, Time: 79.3 seconds
Name: Blair Street, Instruction: Turn left onto Blair Street, Distance: 73.8 meters, Time: 53.1 seconds
Name: Valencia Close, Instruction: Turn right onto Valencia Close, Distance: 113.0 meters, Time: 81.4 seconds
Name: East India Dock Road, Instruction: Turn left onto East India Dock Road, Distance: 144.3 meters, Time: 103.9 seconds
Name: -, Instruction: Continue straight, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 178.0 meters, Time: 128.1 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.3 seconds
Name: Silvocea Way, Instruction: Turn right onto Silvocea Way, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 247.7 meters, Time: 178.3 seconds
Name: -, Instruction: Keep right, Distance: 48.6 meters, Time: 35.0 seconds
Name: Botanic Square, Instruction: Turn left onto Botanic Square, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Arrive at Botanic Square, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
