Name: Murphy Street, Instruction: Head southwest on Murphy Street, Distance: 100.4 meters, Time: 72.3 seconds
Name: Montgomery Avenue, Instruction: Turn right onto Montgomery Avenue, Distance: 65.6 meters, Time: 47.2 seconds
Name: Montgomery Avenue, Instruction: Keep left onto Montgomery Avenue, Distance: 22.3 meters, Time: 16.1 seconds
Name: Jamieson Street, Instruction: Enter the roundabout and take the 1st exit onto Jamieson Street, Distance: 278.2 meters, Time: 200.3 seconds
Name: The River Road, Instruction: Turn right onto The River Road, Distance: 5.0 meters, Time: 3.6 seconds
Name: Hedlund Street, Instruction: Turn left onto Hedlund Street, Distance: 239.3 meters, Time: 172.3 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 107.9 meters, Time: 77.7 seconds
Name: -, Instruction: Turn left, Distance: 380.9 meters, Time: 274.3 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 229.2 meters, Time: 165.0 seconds
Name: -, Instruction: Turn right, Distance: 547.4 meters, Time: 394.1 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 194.5 meters, Time: 140.1 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
