Name: Circuito de la Investigación Científica, Instruction: Head southwest on Circuito de la Investigación Científica, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 119.2 meters, Time: 85.8 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: Circuito Maestro Mario de la Cueva, Instruction: Turn left onto Circuito Maestro Mario de la Cueva, Distance: 892.6 meters, Time: 642.6 seconds
Name: Circuito Maestro Mario de la Cueva, Instruction: Turn left onto Circuito Maestro Mario de la Cueva, Distance: 321.0 meters, Time: 231.1 seconds
Name: -, Instruction: Continue straight, Distance: 411.2 meters, Time: 296.1 seconds
Name: -, Instruction: Keep right, Distance: 47.7 meters, Time: 34.3 seconds
Name: -, Instruction: Turn left, Distance: 50.0 meters, Time: 36.0 seconds
Name: Circuito Cultural, Instruction: Turn left onto Circuito Cultural, Distance: 192.9 meters, Time: 138.9 seconds
Name: Avenida del Aspirante, Instruction: Turn right onto Avenida del Aspirante, Distance: 141.8 meters, Time: 102.1 seconds
Name: -, Instruction: Turn right, Distance: 60.9 meters, Time: 43.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
