Name: Quakers Road, Instruction: Head northwest on Quakers Road, Distance: 65.9 meters, Time: 47.4 seconds
Name: Elwood Crescent, Instruction: Turn left onto Elwood Crescent, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight left, Distance: 578.8 meters, Time: 416.8 seconds
Name: -, Instruction: Turn right, Distance: 180.7 meters, Time: 130.1 seconds
Name: -, Instruction: Continue straight, Distance: 319.3 meters, Time: 229.9 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: Tallagandra Drive, Instruction: Turn left onto Tallagandra Drive, Distance: 73.7 meters, Time: 53.1 seconds
Name: Narcissus Avenue, Instruction: Turn right onto Narcissus Avenue, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 83.9 meters, Time: 60.4 seconds
Name: Sycamore Crescent, Instruction: Turn left onto Sycamore Crescent, Distance: 365.8 meters, Time: 263.4 seconds
Name: -, Instruction: Arrive at Sycamore Crescent, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
