Name: Rue de Boulainvilliers, Instruction: Head south on Rue de Boulainvilliers, Distance: 139.9 meters, Time: 100.7 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn slight left, Distance: 174.4 meters, Time: 125.6 seconds
Name: -, Instruction: Turn slight right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 128.2 meters, Time: 92.3 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 138.7 meters, Time: 99.8 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Keep left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 154.9 meters, Time: 111.5 seconds
Name: -, Instruction: Turn slight right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Keep left, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 166.1 meters, Time: 119.6 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 79.8 meters, Time: 57.5 seconds
Name: -, Instruction: Turn left, Distance: 348.5 meters, Time: 250.9 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 60.5 meters, Time: 43.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.3 meters, Time: 6.7 seconds
Name: Rue Poussin, Instruction: Turn right onto Rue Poussin, Distance: 20.7 meters, Time: 14.9 seconds
Name: Place de la Porte d'Auteuil, Instruction: Continue straight onto Place de la Porte d'Auteuil, Distance: 61.6 meters, Time: 44.3 seconds
Name: -, Instruction: Arrive at Place de la Porte d'Auteuil, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
