Name: Patricia Street, Instruction: Head north on Patricia Street, Distance: 52.4 meters, Time: 37.8 seconds
Name: Dorothy Street, Instruction: Turn left onto Dorothy Street, Distance: 193.6 meters, Time: 139.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.2 seconds
Name: John Street, Instruction: Turn left onto John Street, Distance: 79.6 meters, Time: 57.3 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 10.9 seconds
Name: Antoine Street, Instruction: Turn right onto Antoine Street, Distance: 117.4 meters, Time: 84.5 seconds
Name: Jean Street, Instruction: Turn left onto Jean Street, Distance: 54.7 meters, Time: 39.4 seconds
Name: Parramatta Valley Cycleway, Instruction: Turn right onto Parramatta Valley Cycleway, Distance: 172.4 meters, Time: 124.1 seconds
Name: Parramatta Valley Cycleway, Instruction: Keep left onto Parramatta Valley Cycleway, Distance: 555.4 meters, Time: 399.9 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
