Name: Aklander Rise, Instruction: Head northeast on Aklander Rise, Distance: 7.2 meters, Time: 5.2 seconds
Name: Lime Hill Rise, Instruction: Turn left onto Lime Hill Rise, Distance: 157.3 meters, Time: 113.2 seconds
Name: Piwari Place, Instruction: Turn right onto Piwari Place, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn right, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Turn left, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 120.1 meters, Time: 86.5 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: Greenan Drive, Instruction: Turn right onto Greenan Drive, Distance: 57.4 meters, Time: 41.3 seconds
Name: -, Instruction: Arrive at Greenan Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
